tweet_id,retweets,favorites,creation_time
776819012571455488,12823,0,2016-09-16 16:24:19+00:00
776813020089548800,1135,4666,2016-09-16 16:00:31+00:00
776477788987613185,2598,8373,2016-09-15 17:48:25+00:00
776249906839351296,8592,0,2016-09-15 02:42:54+00:00
776218204058357768,14917,28446,2016-09-15 00:36:55+00:00
776201521193218049,2373,9126,2016-09-14 23:30:38+00:00
776113305656188928,4094,11269,2016-09-14 17:40:06+00:00
776088319444877312,142,1736,2016-09-14 16:00:49+00:00
775898661951791106,15761,0,2016-09-14 03:27:11+00:00
775842724423557120,2498,11188,2016-09-13 23:44:54+00:00
775733305207554048,3761,13266,2016-09-13 16:30:07+00:00
775729183532220416,4352,12419,2016-09-13 16:13:44+00:00
775364825476165632,2766,7036,2016-09-12 16:05:54+00:00
775350846108426240,3680,9698,2016-09-12 15:10:21+00:00
775085132600442880,4436,14824,2016-09-11 21:34:30+00:00
774757898236878852,1681,8246,2016-09-10 23:54:11+00:00
774639387460112384,1634,6437,2016-09-10 16:03:16+00:00
774314403806253056,5169,20815,2016-09-09 18:31:54+00:00
773985732834758656,3632,10287,2016-09-08 20:45:53+00:00
773922284943896577,1646,6117,2016-09-08 16:33:46+00:00
773704687002451968,1520,6312,2016-09-08 02:09:06+00:00
773670353721753600,1242,5115,2016-09-07 23:52:41+00:00
773547596996571136,5764,21069,2016-09-07 15:44:53+00:00
773336787167145985,4753,0,2016-09-07 01:47:12+00:00
773308824254029826,7049,22286,2016-09-06 23:56:05+00:00
773247561583001600,3060,9021,2016-09-06 19:52:39+00:00
773191612633579521,3873,9529,2016-09-06 16:10:20+00:00
772877495989305348,3637,8161,2016-09-05 19:22:09+00:00
772826264096874500,2232,7675,2016-09-05 15:58:34+00:00
772615324260794368,3169,0,2016-09-05 02:00:22+00:00
772581559778025472,1604,6193,2016-09-04 23:46:12+00:00
772193107915964416,1304,5734,2016-09-03 22:02:38+00:00
772152991789019136,1065,3636,2016-09-03 19:23:13+00:00
772117678702071809,694,3599,2016-09-03 17:02:54+00:00
772114945936949249,446,2615,2016-09-03 16:52:02+00:00
772102971039580160,881,3820,2016-09-03 16:04:27+00:00
